customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost
12,123,gram flour ,2023-06-13,8,52,8,416
26,128,gram flour ,2023-06-19,20,52,2,104
48,123,shampoo,2023-05-14,8,1.5,1,1.5
17,123,refined oil,2023-08-04,8,110,7,770
21,129,gram flour ,2023-03-17,22,52,8,416
35,121,sugar,2023-04-27,2,50,9,450
32,130,shampoo,2023-05-05,25,1.5,2,3.0
12,129,sugar,2023-03-09,21,50,1,50
9,125,flour,2023-05-09,13,20,10,200
25,127,gram flour ,2023-07-01,16,52,8,416
10,130,flour,2023-05-21,23,20,5,100
34,121,refined oil,2023-03-31,2,110,1,110
26,124,flour,2023-08-13,12,20,2,40
4,128,refined oil,2023-05-28,20,110,3,330
41,130,toothpaste,2023-06-30,25,100,2,200
2,126,sugar,2023-05-25,15,50,2,100
42,125,quaker oats,2023-05-15,13,212,5,1060
12,121,flour,2023-08-01,1,20,10,200
25,125,refined oil,2023-04-22,13,110,2,220
25,130,refined oil,2023-07-19,24,110,9,990
17,127,shampoo,2023-06-10,16,1.5,2,3.0
9,122,flour,2023-08-14,4,20,3,60
26,130,quaker oats,2023-07-08,23,212,4,848
23,129,sugar,2023-06-11,22,50,5,250
12,123,sugar,2023-04-29,7,50,7,350
19,124,flour,2023-08-12,11,20,4,80
7,126,refined oil,2023-06-01,15,110,3,330
24,129,nutrella,2023-05-08,22,40,2,80
21,121,sugar,2023-05-11,3,50,7,350
50,125,quaker oats,2023-05-24,13,212,7,1484
6,122,gram flour ,2023-08-14,5,52,7,364
8,129,sugar,2023-04-04,22,50,5,250
34,126,shampoo,2023-03-05,14,1.5,10,15.0
45,123,nutrella,2023-06-25,7,40,4,160
18,126,shampoo,2023-06-29,14,1.5,7,10.5
4,127,quaker oats,2023-06-16,17,212,3,636
31,123,flour,2023-06-28,7,20,5,100
4,130,sugar,2023-07-13,25,50,6,300
48,121,flour,2023-07-27,1,20,3,60
9,124,toothpaste,2023-05-22,12,100,6,600
17,129,gram flour ,2023-08-02,22,52,3,156
12,125,flour,2023-04-17,12,20,4,80
41,130,toothpaste,2023-05-12,25,100,7,700
50,126,flour,2023-03-28,14,20,1,20
39,123,nutrella,2023-08-16,9,40,3,120
32,129,nutrella,2023-03-09,22,40,8,320
31,127,shampoo,2023-07-02,17,1.5,4,6.0
47,129,gram flour ,2023-05-20,22,52,2,104
39,130,gram flour ,2023-05-08,23,52,4,208
22,122,quaker oats,2023-05-30,5,212,8,1696
47,121,refined oil,2023-08-18,2,110,4,440
20,128,sugar,2023-06-10,18,50,1,50
4,127,flour,2023-04-05,16,20,1,20
22,130,quaker oats,2023-07-21,24,212,5,1060
12,129,toothpaste,2023-04-14,21,100,4,400
50,127,refined oil,2023-06-05,16,110,8,880
7,130,quaker oats,2023-03-29,24,212,7,1484
15,128,shampoo,2023-04-02,19,1.5,8,12.0
14,124,toothpaste,2023-07-28,10,100,1,100
15,124,refined oil,2023-03-30,10,110,8,880
4,126,toothpaste,2023-07-12,14,100,5,500
8,130,nutrella,2023-08-13,25,40,3,120
48,128,sugar,2023-08-08,19,50,6,300
31,126,nutrella,2023-05-11,14,40,1,40
7,124,shampoo,2023-03-21,12,1.5,5,7.5
45,126,gram flour ,2023-04-05,14,52,9,468
19,122,toothpaste,2023-07-28,5,100,10,1000
27,128,flour,2023-08-18,18,20,10,200
27,122,nutrella,2023-03-20,4,40,3,120
32,128,nutrella,2023-06-05,20,40,9,360
1,125,flour,2023-04-01,13,20,10,200
29,126,flour,2023-08-04,14,20,9,180
13,129,gram flour ,2023-06-27,21,52,2,104
4,124,gram flour ,2023-03-28,11,52,6,312
41,127,gram flour ,2023-06-16,17,52,3,156
49,125,sugar,2023-03-12,12,50,2,100
6,129,gram flour ,2023-07-04,21,52,1,52
38,122,toothpaste,2023-07-07,4,100,5,500
32,124,shampoo,2023-04-13,11,1.5,5,7.5
4,127,shampoo,2023-04-04,17,1.5,8,12.0
12,127,nutrella,2023-04-11,16,40,1,40
6,130,flour,2023-04-01,25,20,5,100
46,125,quaker oats,2023-04-07,13,212,5,1060
29,128,toothpaste,2023-08-11,20,100,1,100
45,127,flour,2023-04-03,17,20,6,120
27,126,sugar,2023-05-25,14,50,3,150
18,123,nutrella,2023-05-24,9,40,5,200
10,125,flour,2023-06-04,13,20,2,40
9,129,quaker oats,2023-07-21,22,212,5,1060
14,123,flour,2023-06-25,9,20,3,60
50,126,toothpaste,2023-04-26,14,100,4,400
11,127,toothpaste,2023-04-30,16,100,2,200
35,127,shampoo,2023-07-28,17,1.5,9,13.5
3,125,sugar,2023-04-26,13,50,7,350
9,130,refined oil,2023-03-12,23,110,1,110
29,125,toothpaste,2023-07-30,13,100,8,800
40,124,refined oil,2023-07-14,11,110,6,660
29,121,nutrella,2023-06-22,2,40,2,80
25,129,shampoo,2023-06-25,21,1.5,5,7.5
36,128,quaker oats,2023-08-13,20,212,6,1272
9,122,gram flour ,2023-08-06,6,52,9,468
2,130,gram flour ,2023-07-06,25,52,3,156
25,122,nutrella,2023-07-07,4,40,8,320
18,123,refined oil,2023-08-10,9,110,4,440
19,125,gram flour ,2023-07-21,12,52,6,312
31,122,refined oil,2023-06-08,4,110,2,220
33,129,shampoo,2023-06-24,22,1.5,5,7.5
24,123,shampoo,2023-04-17,8,1.5,1,1.5
3,121,gram flour ,2023-07-19,3,52,5,260
9,123,gram flour ,2023-06-11,9,52,2,104
32,124,shampoo,2023-03-30,12,1.5,7,10.5
28,125,toothpaste,2023-03-11,12,100,10,1000
16,122,shampoo,2023-03-17,4,1.5,3,4.5
28,125,gram flour ,2023-07-25,13,52,6,312
11,125,sugar,2023-06-07,12,50,4,200
12,122,flour,2023-05-16,4,20,5,100
38,124,flour,2023-05-22,10,20,3,60
11,130,gram flour ,2023-05-10,25,52,6,312
27,122,sugar,2023-03-08,5,50,7,350
35,123,shampoo,2023-03-22,8,1.5,7,10.5
19,128,nutrella,2023-07-16,19,40,8,320
41,127,quaker oats,2023-03-15,17,212,6,1272
9,129,refined oil,2023-06-24,21,110,9,990
16,125,flour,2023-07-01,13,20,5,100
11,125,quaker oats,2023-03-15,12,212,5,1060
50,121,flour,2023-04-22,2,20,3,60
19,123,sugar,2023-05-30,7,50,8,400
12,128,shampoo,2023-05-12,20,1.5,5,7.5
36,127,nutrella,2023-04-14,16,40,10,400
46,130,sugar,2023-06-12,23,50,8,400
27,125,nutrella,2023-06-04,12,40,3,120
38,129,nutrella,2023-03-14,22,40,5,200
3,121,quaker oats,2023-03-07,3,212,8,1696
13,121,shampoo,2023-04-23,1,1.5,4,6.0
4,126,flour,2023-06-12,14,20,9,180
29,129,nutrella,2023-07-03,22,40,4,160
45,122,refined oil,2023-05-30,5,110,10,1100
19,123,gram flour ,2023-03-21,9,52,1,52
13,126,nutrella,2023-06-02,15,40,9,360
32,129,sugar,2023-04-25,22,50,5,250
23,126,gram flour ,2023-05-05,15,52,4,208
5,124,nutrella,2023-08-10,12,40,6,240
43,129,flour,2023-04-16,21,20,10,200
39,123,nutrella,2023-04-07,9,40,1,40
32,123,flour,2023-03-16,8,20,10,200
7,129,sugar,2023-04-26,21,50,9,450
30,121,flour,2023-04-22,1,20,10,200
34,124,refined oil,2023-03-18,11,110,1,110
5,130,toothpaste,2023-03-08,25,100,8,800
8,122,sugar,2023-06-17,4,50,2,100
23,126,nutrella,2023-04-23,14,40,9,360
43,125,nutrella,2023-06-28,12,40,8,320
28,125,quaker oats,2023-08-19,12,212,9,1908
44,124,gram flour ,2023-06-26,10,52,2,104
8,128,gram flour ,2023-03-23,18,52,4,208
42,122,gram flour ,2023-06-29,4,52,5,260
21,127,toothpaste,2023-03-27,17,100,5,500
8,121,flour,2023-08-17,2,20,8,160
45,123,refined oil,2023-05-18,9,110,8,880
18,130,shampoo,2023-03-09,24,1.5,5,7.5
17,125,toothpaste,2023-03-30,13,100,6,600
43,123,flour,2023-08-13,9,20,6,120
33,128,flour,2023-07-11,19,20,8,160
22,123,flour,2023-05-10,8,20,2,40
16,127,flour,2023-04-28,17,20,1,20
45,121,quaker oats,2023-04-27,1,212,4,848
17,123,shampoo,2023-05-12,7,1.5,1,1.5
50,125,sugar,2023-08-09,12,50,8,400
10,123,toothpaste,2023-07-19,8,100,2,200
23,129,gram flour ,2023-03-04,21,52,4,208
38,124,refined oil,2023-04-02,10,110,6,660
50,122,toothpaste,2023-04-03,4,100,3,300
23,124,refined oil,2023-03-13,12,110,1,110
25,122,flour,2023-07-30,4,20,6,120
30,123,sugar,2023-08-15,9,50,6,300
7,126,sugar,2023-07-31,15,50,7,350
39,122,gram flour ,2023-04-14,4,52,8,416
13,123,refined oil,2023-05-28,8,110,2,220
43,122,nutrella,2023-07-18,4,40,5,200
37,126,refined oil,2023-05-16,15,110,6,660
9,122,refined oil,2023-08-12,4,110,10,1100
15,121,toothpaste,2023-05-01,2,100,3,300
31,130,refined oil,2023-04-01,25,110,5,550
15,122,gram flour ,2023-05-26,6,52,3,156
30,128,shampoo,2023-04-30,19,1.5,10,15.0
30,127,toothpaste,2023-06-28,17,100,2,200
39,123,shampoo,2023-06-19,9,1.5,6,9.0
30,127,gram flour ,2023-03-09,16,52,8,416
45,125,sugar,2023-05-04,13,50,7,350
45,122,toothpaste,2023-06-27,6,100,5,500
38,121,quaker oats,2023-06-23,2,212,5,1060
6,129,shampoo,2023-05-21,22,1.5,4,6.0
46,128,refined oil,2023-05-06,18,110,10,1100
49,126,gram flour ,2023-07-07,15,52,9,468
3,126,toothpaste,2023-06-21,14,100,4,400
19,130,refined oil,2023-05-20,23,110,3,330
45,123,quaker oats,2023-05-27,7,212,2,424
21,124,refined oil,2023-03-28,11,110,4,440
25,129,quaker oats,2023-06-22,21,212,10,2120
9,121,sugar,2023-07-15,3,50,3,150
41,127,nutrella,2023-07-13,17,40,3,120
50,123,sugar,2023-07-13,8,50,4,200
50,122,sugar,2023-07-28,4,50,7,350
34,122,refined oil,2023-06-02,5,110,5,550
26,125,refined oil,2023-06-24,13,110,4,440
26,123,gram flour ,2023-08-05,7,52,6,312
32,123,flour,2023-04-01,9,20,5,100
49,125,quaker oats,2023-04-17,12,212,9,1908
32,127,shampoo,2023-04-03,16,1.5,6,9.0
19,121,refined oil,2023-05-25,1,110,6,660
16,121,flour,2023-05-19,2,20,3,60
23,124,quaker oats,2023-04-07,11,212,3,636
41,127,flour,2023-07-30,17,20,3,60
46,129,sugar,2023-06-15,22,50,7,350
13,128,nutrella,2023-04-27,20,40,10,400
13,127,shampoo,2023-06-03,17,1.5,2,3.0
2,123,flour,2023-05-31,8,20,6,120
36,128,toothpaste,2023-08-18,18,100,7,700
28,127,gram flour ,2023-07-22,17,52,9,468
34,128,flour,2023-03-18,20,20,1,20
23,124,flour,2023-07-03,12,20,5,100
19,128,refined oil,2023-03-25,20,110,2,220
42,130,shampoo,2023-08-03,23,1.5,6,9.0
3,125,gram flour ,2023-06-20,13,52,4,208
31,130,gram flour ,2023-05-06,23,52,3,156
24,129,nutrella,2023-07-26,21,40,4,160
31,129,nutrella,2023-07-04,22,40,1,40
12,126,flour,2023-07-29,14,20,4,80
40,124,toothpaste,2023-04-05,12,100,3,300
3,126,flour,2023-08-11,15,20,6,120
32,125,quaker oats,2023-05-28,13,212,5,1060
13,124,refined oil,2023-07-08,12,110,2,220
25,124,nutrella,2023-07-01,12,40,9,360
44,126,shampoo,2023-03-16,15,1.5,3,4.5
10,121,toothpaste,2023-06-13,2,100,6,600
19,126,sugar,2023-03-27,15,50,10,500
14,122,gram flour ,2023-06-30,4,52,5,260
16,124,toothpaste,2023-03-31,11,100,7,700
21,129,shampoo,2023-04-23,21,1.5,9,13.5
25,129,shampoo,2023-04-18,22,1.5,4,6.0
29,125,shampoo,2023-06-05,13,1.5,10,15.0
28,127,toothpaste,2023-06-08,17,100,5,500
47,121,shampoo,2023-06-19,1,1.5,2,3.0
6,121,nutrella,2023-04-06,3,40,8,320
30,130,shampoo,2023-06-18,24,1.5,9,13.5
1,126,refined oil,2023-04-07,14,110,3,330
33,123,shampoo,2023-04-29,8,1.5,10,15.0
37,129,gram flour ,2023-04-27,22,52,4,208
48,122,shampoo,2023-03-06,5,1.5,2,3.0
23,124,flour,2023-07-26,12,20,2,40
46,127,refined oil,2023-05-17,16,110,1,110
25,127,nutrella,2023-07-10,16,40,2,80
19,129,nutrella,2023-04-29,21,40,6,240
35,122,gram flour ,2023-04-24,4,52,2,104
24,128,shampoo,2023-03-07,20,1.5,5,7.5
15,121,nutrella,2023-07-14,1,40,7,280
33,130,flour,2023-07-08,24,20,7,140
26,126,sugar,2023-07-10,14,50,10,500
24,129,toothpaste,2023-06-28,22,100,2,200
28,129,gram flour ,2023-03-05,22,52,5,260
48,123,sugar,2023-04-29,7,50,5,250
24,125,gram flour ,2023-06-26,12,52,5,260
4,126,flour,2023-08-15,15,20,10,200
50,129,refined oil,2023-08-04,21,110,5,550
25,124,quaker oats,2023-03-03,12,212,6,1272
11,130,shampoo,2023-05-19,24,1.5,10,15.0
2,125,refined oil,2023-03-20,12,110,10,1100
30,126,nutrella,2023-07-30,15,40,8,320
21,128,nutrella,2023-05-12,19,40,5,200
27,127,toothpaste,2023-04-09,17,100,4,400
32,123,toothpaste,2023-07-20,9,100,5,500
17,127,refined oil,2023-07-22,16,110,1,110
17,121,flour,2023-05-16,3,20,9,180
15,125,flour,2023-04-11,13,20,1,20
42,125,shampoo,2023-06-04,13,1.5,6,9.0
49,123,sugar,2023-07-08,7,50,7,350
43,122,sugar,2023-03-25,5,50,9,450
2,127,refined oil,2023-08-04,17,110,1,110
47,121,toothpaste,2023-03-28,2,100,3,300
20,129,quaker oats,2023-03-18,22,212,10,2120
46,125,sugar,2023-07-03,13,50,8,400
11,125,refined oil,2023-07-24,12,110,7,770
9,123,shampoo,2023-08-07,8,1.5,8,12.0
24,124,nutrella,2023-08-18,12,40,8,320
8,122,nutrella,2023-04-23,5,40,9,360
5,126,nutrella,2023-07-06,14,40,3,120
32,123,nutrella,2023-03-26,8,40,8,320
11,123,nutrella,2023-03-13,7,40,9,360
19,126,gram flour ,2023-04-27,14,52,3,156
39,125,gram flour ,2023-06-27,12,52,5,260
24,128,gram flour ,2023-08-20,18,52,4,208
3,129,sugar,2023-05-16,22,50,9,450
27,123,flour,2023-07-30,8,20,9,180
36,128,refined oil,2023-05-01,20,110,8,880
2,125,refined oil,2023-03-03,12,110,3,330
16,124,toothpaste,2023-08-11,12,100,5,500
24,126,gram flour ,2023-08-18,15,52,3,156
14,130,quaker oats,2023-08-11,25,212,1,212
12,122,refined oil,2023-08-10,4,110,3,330
25,121,sugar,2023-04-02,3,50,3,150
17,123,toothpaste,2023-07-07,9,100,9,900
1,130,shampoo,2023-06-28,24,1.5,9,13.5
26,125,quaker oats,2023-07-26,12,212,10,2120
5,124,gram flour ,2023-03-29,11,52,1,52
47,130,refined oil,2023-08-02,24,110,9,990
45,126,sugar,2023-03-20,15,50,4,200
19,121,refined oil,2023-04-10,3,110,6,660
40,122,refined oil,2023-07-31,4,110,10,1100
28,124,gram flour ,2023-07-30,12,52,8,416
13,129,sugar,2023-06-06,21,50,4,200
33,123,gram flour ,2023-03-15,7,52,1,52
50,126,refined oil,2023-05-16,15,110,10,1100
34,125,refined oil,2023-04-27,12,110,1,110
50,126,toothpaste,2023-04-22,14,100,10,1000
13,125,sugar,2023-04-16,12,50,1,50
2,129,quaker oats,2023-07-22,21,212,3,636
38,121,nutrella,2023-04-29,2,40,3,120
14,122,sugar,2023-08-05,6,50,3,150
4,130,gram flour ,2023-08-16,23,52,4,208
6,129,flour,2023-04-10,21,20,3,60
44,126,nutrella,2023-05-21,14,40,10,400
22,122,flour,2023-05-09,4,20,4,80
42,129,sugar,2023-03-05,21,50,5,250
3,126,shampoo,2023-05-13,15,1.5,1,1.5
3,127,flour,2023-07-08,16,20,1,20
7,126,toothpaste,2023-05-05,14,100,7,700
39,128,gram flour ,2023-03-17,20,52,4,208
44,125,toothpaste,2023-06-27,13,100,1,100
30,130,nutrella,2023-03-29,25,40,5,200
24,126,shampoo,2023-06-07,14,1.5,3,4.5
27,122,gram flour ,2023-06-24,6,52,4,208
48,127,gram flour ,2023-04-03,17,52,5,260
18,124,quaker oats,2023-05-30,11,212,1,212
29,124,quaker oats,2023-07-12,11,212,7,1484
14,121,gram flour ,2023-07-02,2,52,2,104
17,121,shampoo,2023-08-03,3,1.5,10,15.0
48,127,shampoo,2023-08-03,17,1.5,3,4.5
7,130,nutrella,2023-03-16,23,40,3,120
10,127,sugar,2023-03-04,17,50,5,250
25,128,shampoo,2023-03-18,19,1.5,2,3.0
30,126,gram flour ,2023-04-27,14,52,5,260
22,121,toothpaste,2023-07-24,1,100,1,100
34,127,shampoo,2023-06-17,16,1.5,9,13.5
25,128,nutrella,2023-08-10,19,40,8,320
40,128,toothpaste,2023-05-31,18,100,2,200
20,124,gram flour ,2023-06-14,10,52,6,312
16,129,quaker oats,2023-07-21,22,212,2,424
46,126,quaker oats,2023-04-28,15,212,1,212
11,127,toothpaste,2023-07-27,16,100,1,100
8,123,sugar,2023-06-28,9,50,10,500
26,122,flour,2023-03-16,6,20,7,140
10,127,nutrella,2023-06-15,16,40,2,80
24,124,refined oil,2023-04-16,10,110,3,330
31,126,nutrella,2023-08-20,15,40,6,240
6,123,toothpaste,2023-05-13,8,100,7,700
